Name,Age,Gender,Region,Education,Profession,Political_Leaning,Civil_Bias,Criminal_Bias,Fairness_Score,Questionnaire,Prosecution_Bias,Defense_Bias,Neutral_Bias
Udyati Divan,65,Male,Hyderabad,High School,Student,7.8,0.66,0.21,0.32,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I am neutral on this matter. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat agree but with some reservations. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.15,0.5,0.71
Meera Kara,44,Male,Kolkata,Postgraduate,Teacher,5.8,0.65,0.05,0.43,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I have experienced challenges that make me more empathetic. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? My upbringing emphasized honesty and justice. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.16,0.77,0.13
Urmi Cherian,49,Female,Delhi,Postgraduate,Other,7.2,0.09,0.82,0.75,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I come from a middle-class family and it taught me fairness. | How comfortable are you making decisions that affect others? My upbringing emphasized honesty and justice. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? Cultural traditions have shaped how I view responsibility. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? I am neutral on this matter. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,1.0,0.33,0.96
Jhalak Sahni,25,Female,Kolkata,High School,Lawyer,9.9,0.55,0.03,0.47,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? My upbringing emphasized honesty and justice. | Have your early life experiences shaped your perspective on justice? I am neutral on this matter. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.8,0.91,0.64
Indali Varma,33,Female,Chennai,Postgraduate,Teacher,7.1,0.36,0.7,0.81,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.16,0.63,0.65
Aachal Grover,34,Female,Chennai,Postgraduate,Other,5.5,0.04,0.16,0.75,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I come from a middle-class family and it taught me fairness. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? My socio-economic background has made me sensitive to inequality. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? Cultural traditions have shaped how I view responsibility. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.67,0.34,0.38
Mahika Buch,61,Male,Chennai,High School,Student,7.1,0.27,0.36,0.53,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I somewhat disagree with this viewpoint. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I strongly disagree and have opposite experiences. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.58,0.41,0.1
Ganga Rao,45,Female,Delhi,Postgraduate,Engineer,1.1,0.89,0.77,0.37,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? My socio-economic background has made me sensitive to inequality. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.44,0.47,0.97
Maanas Swamy,46,Male,Chennai,Graduate,Other,6.0,0.66,0.56,0.75,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? I try to remain unbiased despite personal life experiences.,0.13,0.43,0.33
Krishna Kanda,64,Male,Bangalore,Graduate,Engineer,4.9,0.42,0.36,0.58,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.69,0.09,0.13
Omkaar Gara,42,Male,Chennai,High School,Lawyer,2.3,0.2,0.98,0.96,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.09,0.73,0.56
Jeevika Issac,42,Female,Mumbai,High School,Student,5.6,0.23,0.41,0.21,Do you believe everyone deserves a fair trial? I have experienced challenges that make me more empathetic. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? My upbringing emphasized honesty and justice. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.57,0.77,0.53
Chatura Mukherjee,34,Female,Bangalore,Postgraduate,Other,6.2,0.2,0.63,0.47,Do you believe everyone deserves a fair trial? I have experienced challenges that make me more empathetic. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I come from a middle-class family and it taught me fairness. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.66,0.18,0.89
Qadim Ratta,52,Male,Kolkata,Postgraduate,Business,2.9,0.57,0.01,0.45,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? I somewhat agree but with some reservations. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? I have experienced challenges that make me more empathetic. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.29,0.52,0.97
Girik Sethi,62,Female,Other,Postgraduate,Lawyer,8.4,0.01,0.26,0.3,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I try to remain unbiased despite personal life experiences. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.6,0.26,0.99
Atharv Mani,34,Female,Other,Graduate,Engineer,2.1,0.72,0.05,0.71,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.19,0.31,0.96
Balveer Viswanathan,56,Female,Delhi,High School,Engineer,5.7,0.06,0.92,0.66,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I come from a middle-class family and it taught me fairness. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I come from a middle-class family and it taught me fairness. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.23,0.17,0.19
Udant Balakrishnan,48,Female,Mumbai,Postgraduate,Other,0.6,0.37,0.46,0.84,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? Cultural traditions have shaped how I view responsibility.,0.13,0.06,0.64
Chakradev Patla,45,Female,Mumbai,Postgraduate,Teacher,3.7,0.62,0.98,0.49,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I strongly disagree and have opposite experiences. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? My upbringing emphasized honesty and justice. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.96,0.94,0.75
Rushil Comar,52,Female,Bangalore,Graduate,Business,1.4,0.08,0.9,0.77,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I come from a middle-class family and it taught me fairness. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.02,0.31,0.77
Nikita Bajwa,64,Male,Kolkata,Postgraduate,Lawyer,4.8,0.35,0.35,0.64,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I have experienced challenges that make me more empathetic. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? Cultural traditions have shaped how I view responsibility.,0.28,0.09,0.66
Manan Palla,35,Female,Delhi,High School,Teacher,9.4,0.65,0.56,0.53,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.25,0.47,0.98
Yadavi Nadkarni,59,Female,Kolkata,Graduate,Lawyer,6.9,0.94,0.09,0.73,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I try to remain unbiased despite personal life experiences. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly disagree and have opposite experiences. | Do you think socio-economic factors affect how you view cases? Cultural traditions have shaped how I view responsibility. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.01,0.59,0.88
